Row	Text	Fraction
-17	20/23	20/23
-16	20/33	20/33
-15	20/45	20/45
-14	20/66	20/66
-13	20/89	20/89
-12	20/130	20/130
-11	20/180	20/180
-10	20/270	20/270
-9	20/360	20/360
-8	20/540	20/540
-7	20/670	20/670
-6	20/1000	20/1000
-5	20/1400	20/1400
-4	20/2000	20/2000
-3	20/2700	20/2700
