Row	Text	Fraction
-17	38 cy/cm	20/23
-16	26 cy/cm	20/33
-15	19 cy/cm	20/45
-14	13 cy/cm	20/66
-13	9.8 cy/cm	20/89
-12	6.5 cy/cm	20/130
-11	4.8 cy/cm	20/180
-10	3.2 cy/cm	20/270
-9	2.4 cy/cm	20/360
-8	1.6 cy/cm	20/540
-7	1.3 cy/cm	20/670
-6	0.86 cy/cm	20/1000
-5	0.64 cy/cm	20/1400
-4	0.43 cy/cm	20/2000
-3	0.32 cy/cm	20/2700
